matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken
NA1_4258007407,0,2,0,1,-945,-1938,677,-770,-2375,0,0,1,0,0,0
NA1_4246550266,0,1,1,0,-689,-328,2485,-1376,1235,0,0,0,0,1,0
NA1_4244600525,0,2,1,0,2925,1392,-491,-178,-716,0,0,0,1,0,0
NA1_4252968167,1,0,0,1,-1956,1323,28,-1115,652,1,0,0,0,0,0
NA1_4257180901,1,1,0,0,1273,474,593,-2886,-1389,0,0,1,0,0,0
NA1_4250439895,1,1,0,1,159,-91,-2565,-2972,586,0,3,1,0,0,0
NA1_4245557488,1,0,0,1,-1559,636,838,-967,-75,1,0,0,0,0,0
NA1_4248666260,0,1,0,1,1405,1369,-1683,-372,-1171,0,0,0,0,0,0
NA1_4251569803,1,0,0,1,2161,-774,-919,3472,1073,0,0,0,1,0,2
NA1_4247199356,1,0,0,1,1103,1596,-483,231,195,0,0,0,0,0,0
NA1_4248278754,0,2,1,0,-681,-591,1288,-1988,-100,0,0,1,1,0,0
NA1_4254576680,0,1,0,0,-3842,121,278,-892,-793,1,0,0,0,0,0
NA1_4258132181,0,1,1,0,429,-2091,1885,-1012,217,0,0,0,1,0,0
NA1_4255336421,1,0,1,0,2249,1327,1001,-1274,679,0,0,1,0,1,0
NA1_4252597484,0,2,0,1,1510,-390,-841,-399,-609,0,1,0,0,0,0
NA1_4237284361,1,1,1,0,678,688,1020,864,668,0,0,0,0,1,0
NA1_4259155489,0,1,1,0,2931,655,183,1868,1215,0,0,0,1,0,1
NA1_4247831026,0,2,0,1,-1331,-1528,-1595,613,-927,1,1,0,0,0,0
NA1_4244772211,1,1,0,0,2867,905,-54,-1488,1169,0,0,0,1,0,0
NA1_4254307793,1,0,1,0,604,2411,-46,217,671,0,0,0,1,0,0
NA1_4242300785,0,2,1,0,2789,392,-5,-1651,117,0,0,1,0,0,0
NA1_4240386360,1,1,1,0,-979,291,-968,2557,1317,0,0,0,0,0,1
NA1_4254981040,0,2,0,1,-1085,-18,-28,470,-1931,0,0,0,0,0,0
NA1_4254710688,0,1,0,1,-216,-1586,604,108,-13,0,1,0,0,0,0
NA1_4247154285,2,0,1,0,5253,1591,296,2141,-25,0,0,0,3,1,1
NA1_4250426623,2,0,1,0,1155,1233,1216,3492,2203,0,0,0,1,0,1
NA1_4248602730,2,0,1,0,1604,2025,-1667,-1655,-806,0,0,0,1,0,0
NA1_4249501751,0,1,1,0,1433,-27,495,-1832,-504,0,0,0,0,0,0
NA1_4248215902,1,0,0,1,-1975,230,555,1451,372,0,0,0,0,0,0
NA1_4244057130,1,1,1,0,-2,1480,1872,894,80,0,0,0,0,1,0
NA1_4245690014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NA1_4245135996,1,0,1,0,-2238,498,314,-1854,-516,1,0,0,0,0,0
NA1_4250418111,2,0,1,0,-325,1496,1787,372,724,0,0,0,0,1,0
NA1_4252117931,1,0,0,0,-598,156,2201,-2936,-664,0,0,0,0,0,0
NA1_4239229458,1,1,0,1,-604,-456,704,1653,1781,0,0,0,0,0,1
NA1_4256933809,2,0,0,1,-1814,394,1500,-2558,-1159,1,0,1,0,0,0
NA1_4255610361,2,0,1,0,2214,907,1690,848,658,0,0,0,0,1,1
NA1_4245571441,0,2,0,1,2317,-1237,1765,-1068,-1627,0,0,1,1,0,0
NA1_4252974704,2,0,0,1,1369,48,3389,213,1575,0,0,0,0,1,1
NA1_4259052155,2,0,0,1,987,952,-906,3115,-469,1,0,0,0,0,1
NA1_4259063898,2,0,0,1,-1974,280,122,462,226,0,1,0,0,0,1
NA1_4256756676,0,2,0,1,-2123,934,-548,-1037,152,1,0,0,0,0,0
NA1_4253324134,0,1,1,0,-1148,258,1130,201,275,0,0,0,0,1,0
NA1_4236081598,2,0,1,0,583,849,999,1305,1646,0,0,0,1,0,0
NA1_4248766843,0,1,1,0,-185,2452,630,-906,217,1,0,0,1,1,0
